companyid,companyname,ticker,price,p_l,p_vp,p_ebit,p_ativo,ev_ebit,margembruta,margemebit,margemliquida,p_sr,p_capitalgiro,p_ativocirculante,giroativos,roe,roa,roic,dividaliquidapatrimonioliquido,dividaliquidaebit,pl_ativo,passivo_ativo,liquidezcorrente,peg_ratio,receitas_cagr5,liquidezmediadiaria,vpa,lpa,valormercado,segmentid,sectorid,subsectorid,subsectorname,segmentname,sectorname,dy,lucros_cagr5
166,TECNOSOLO ENGENHARIA S.A.,TCNO4,0.85,-5.33,-5.95,-4.82,0.02,-34.51,,,,,-0.06,-0.03,0.0,-111.63,-0.45,-3.55,,-28.98,0.0,1.0,0.28,-0.2,,,-0.14,-0.16,6451072.5,3,1,2,Construção e Engenharia,Engenharia Consultiva,Bens Industriais,,
242,TECNISA S.A.,TCSA3,1.13,-0.51,0.26,-0.73,0.07,-5.1,-20.85,-40.32,-57.81,0.29,-0.21,-0.1,0.25,-51.23,-14.26,-13.72,1.56,-4.37,0.28,0.72,0.46,-0.01,5.16,121546.43,4.34,-2.22,83189729.9,23,2,9,Construção Civil,Incorporações,Consumo Cíclico,,
260,TECHNOS S.A.,TECN3,7.19,6.4,1.0,6.02,0.62,6.3,54.75,16.04,15.07,0.97,1.32,-1.89,0.64,15.64,9.61,11.97,0.05,0.28,0.61,0.39,3.25,0.92,4.83,448934.95,7.18,1.12,437915685.85,31,2,13,Tecidos. Vestuário e Calçados,Acessórios,Consumo Cíclico,3.32,
269,TEKA-TECELAGEM KUEHNRICH S.A.,TEKA3,42.5,0.15,-0.01,-0.6,0.02,-1.94,24.94,-10.67,43.69,0.06,-0.01,-0.02,0.29,-6.36,12.79,30.07,,-1.54,-2.01,3.01,0.04,0.0,17.7,0.0,-4587.35,291.75,14260237.5,33,2,13,Tecidos. Vestuário e Calçados,Fios e Tecidos,Consumo Cíclico,,
269,TEKA-TECELAGEM KUEHNRICH S.A.,TEKA4,21.25,0.07,0.0,-0.3,0.01,-1.94,24.94,-10.67,43.69,0.03,0.0,-0.01,0.29,-6.36,12.79,30.07,,-1.54,-2.01,3.01,0.04,0.0,17.7,0.0,-4587.35,291.75,14260237.5,33,2,13,Tecidos. Vestuário e Calçados,Fios e Tecidos,Consumo Cíclico,,
437,TELEC BRASILEIRAS S.A. TELEBRAS,TELB3,11.44,20.77,0.76,9.6,0.28,-2.32,-38.99,26.31,12.16,2.53,0.66,-0.57,0.11,3.68,1.33,7.92,-0.91,-11.39,0.36,0.64,5.55,-0.17,15.19,13310.11,14.98,0.55,1102816136.55,83,9,42,Telecomunicações,Telecomunicações,Comunicações,,
437,TELEC BRASILEIRAS S.A. TELEBRAS,TELB4,7.97,14.47,0.53,6.69,0.19,-2.32,-38.99,26.31,12.16,1.76,0.46,-0.39,0.11,3.68,1.33,7.92,-0.91,-11.39,0.36,0.64,5.55,-0.12,15.19,27339.57,14.98,0.55,1102816136.55,83,9,42,Telecomunicações,Telecomunicações,Comunicações,,
228,CONSTRUTORA TENDA S.A.,TEND3,24.21,7.03,2.42,6.77,0.48,7.47,29.44,11.41,10.99,0.77,1.68,-1.21,0.62,34.41,6.82,16.01,0.25,0.7,0.2,0.8,1.89,0.03,10.99,66566411.52,10.01,3.45,2967617059.92,23,2,9,Construção Civil,Incorporações,Consumo Cíclico,5.09,9.89
284,TERRA SANTA AGRO S.A.,TESA3,48.0,-13.3,1.62,10.73,0.52,17.39,15.86,9.39,-7.58,1.01,-11.1,-0.74,0.52,-12.18,-3.94,2.59,1.01,6.66,0.32,0.68,0.86,0.83,7.32,,29.64,-3.61,1389696672.0,42,3,16,Agropecuária,Agricultura,Consumo não Cíclico,,
645,TRACK & FIELD CO S.A.,TFCO4,16.03,108.51,28.5,74.04,16.77,12.76,56.66,20.48,13.97,15.16,37.94,-52.35,1.11,26.26,15.45,22.24,0.28,0.73,0.59,0.41,2.86,4.56,30.7,11508694.86,0.56,0.15,2456084564.05,22,2,8,Comércio,Tecidos. Vestuário e Calçados,Consumo Cíclico,1.45,42.81
211,TEGMA GESTAO LOGISTICA S.A.,TGMA3,36.3,8.69,2.43,6.39,1.72,6.18,20.96,16.75,12.32,1.07,5.39,-3.57,1.61,28.02,19.81,17.28,-0.08,-0.21,0.71,0.29,2.61,0.51,9.18,6969808.67,14.91,4.18,2395905814.5,18,1,6,Transporte,Transporte Rodoviário,Bens Industriais,12.2,7.29
444,AES TIETE ENERGIA SA,TIET11,12.54,-17.06,0.95,6.13,0.24,18.71,0.0,21.64,-7.77,1.33,-6.45,-0.29,0.18,-5.57,-1.4,4.63,1.95,12.58,0.25,0.75,0.84,0.06,4.6,,13.19,-0.73,5004795800.93,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
444,AES TIETE ENERGIA SA,TIET3,3.49,-23.75,1.32,8.52,0.33,18.71,0.0,21.64,-7.77,1.84,-8.98,-0.41,0.18,-5.57,-1.4,4.63,1.95,12.58,0.25,0.75,0.84,0.08,4.6,,2.64,-0.15,5004795800.93,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
444,AES TIETE ENERGIA SA,TIET4,3.51,-23.88,1.33,8.57,0.33,18.71,0.0,21.64,-7.77,1.85,-9.03,-0.41,0.18,-5.57,-1.4,4.63,1.95,12.58,0.25,0.75,0.84,0.08,4.6,,2.64,-0.15,5004795800.93,85,10,44,Energia Elétrica,Energia Elétrica,Utilidade Pública,,
439,TIM PARTICIPACOES S.A.,TIMS3,21.46,29.27,4.01,8.43,0.89,7.34,53.44,23.13,6.66,1.95,188.73,-1.19,0.46,13.71,3.04,27.45,-0.52,-1.09,0.22,0.63,1.02,-2.64,7.93,152076714.38,5.35,0.73,51335021577.94,83,9,42,Telecomunicações,Telecomunicações,Comunicações,11.7,-13.5
395,TEKNO S.A. - INDUSTRIA E COMERCIO,TKNO3,207.0,17.16,1.82,16.34,1.51,14.18,22.29,12.38,11.79,2.02,3.39,-3.61,0.75,10.62,8.8,6.13,-0.23,-2.03,0.83,0.17,4.29,-0.72,15.06,20700.0,113.61,12.07,605447795.59,73,5,34,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,Materiais Básicos,9.67,30.54
395,TEKNO S.A. - INDUSTRIA E COMERCIO,TKNO4,203.51,16.87,1.79,16.06,1.49,14.18,22.29,12.38,11.79,1.99,3.33,-3.55,0.75,10.62,8.8,6.13,-0.23,-2.03,0.83,0.17,4.29,-0.7,15.06,70071.2,113.61,12.07,605447795.59,73,5,34,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,Materiais Básicos,10.09,30.54
676,Grupo Toky S.A.,TOKY3,0.95,-1.55,521.73,-2.36,73.05,-2.37,47.73,-15.72,-23.86,0.37,-3425.49,-109.37,197.0,-33566.97,-4700.0,-8235.54,2.44,-0.01,0.14,0.98,0.94,-0.12,14.79,593990.52,0.0,-0.61,140726128.65,21,2,8,Comércio,Produtos Diversos,Consumo Cíclico,,
435,TOTVS S.A.,TOTS3,42.38,31.3,5.0,23.69,2.76,23.39,70.18,18.29,13.84,4.33,14.07,-4.18,0.64,15.99,8.8,12.04,-0.06,-0.3,0.55,0.41,2.35,1.26,18.01,125855560.43,8.47,1.35,25402639002.78,82,8,41,Programas e Serviços,Programas e Serviços,Tecnologia da Informação,1.44,31.07
277,TEC TOY S.A.,TOYB3,2.29,-43.94,0.03,-45.0,0.0,-46.99,24.06,-10.7,-10.96,4.81,0.34,0.0,0.0,-0.07,0.0,,,,0.05,0.95,,0.47,201.6,,76.91,-0.05,71890222.22,39,2,15,Viagens e Lazer,Brinquedos e Jogos,Consumo Cíclico,,
277,TEC TOY S.A.,TOYB4,2.5,-47.96,0.03,-49.12,0.0,-46.99,24.06,-10.7,-10.96,5.26,0.37,0.0,0.0,-0.07,0.0,,,,0.05,0.95,,0.52,201.6,,76.91,-0.05,71890222.22,39,2,15,Viagens e Lazer,Brinquedos e Jogos,Consumo Cíclico,,
584,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,TPIS3,5.45,-3.26,0.28,-2.71,0.09,-16.43,32.92,-7.77,-6.46,0.21,-0.24,-0.1,0.45,-8.57,-2.88,-7.97,1.42,-13.73,0.34,0.67,0.16,0.02,5.93,270484.62,19.54,-1.67,239800000.0,13,1,6,Transporte,Exploração de Rodovias,Bens Industriais,,
793,TC TRADERS CLUB S.A.,TRAD3,4.03,-3.26,0.88,-2.78,0.74,-2.34,20.97,-184.77,-157.57,5.13,1.65,-1.5,0.14,-27.03,-22.78,-28.96,-0.14,0.44,0.84,0.06,9.31,0.04,54.39,125512.14,4.58,-1.24,161284706.57,82,8,41,Programas e Serviços,Programas e Serviços,Tecnologia da Informação,,
243,TRISUL S.A.,TRIS3,6.5,7.39,0.99,7.19,0.45,9.31,30.38,16.17,15.71,1.16,0.79,-3.24,0.39,13.44,6.1,6.72,0.29,2.12,0.45,0.54,2.96,0.15,11.01,2929073.76,6.54,0.88,1577013997.0,23,2,9,Construção Civil,Incorporações,Consumo Cíclico,19.78,8.77
786,TRÊS TENTOS AGROINDUSTRIAL SA,TTEN3,16.48,9.53,1.75,10.54,0.66,13.0,15.49,4.91,5.43,0.52,3.26,-1.87,1.29,18.4,6.97,3.54,0.41,2.47,0.38,0.62,1.46,1.12,41.95,23404952.62,9.4,1.73,8231721222.56,42,3,16,Agropecuária,Agricultura,Consumo não Cíclico,1.16,48.2
196,TUPY S.A.,TUPY3,12.14,-12.63,0.52,12.92,0.16,31.33,14.71,1.24,-1.27,0.16,0.45,-0.43,1.01,-4.13,-1.29,1.35,0.74,18.41,0.31,0.69,2.45,0.09,15.61,11248013.33,23.27,-0.96,1607948038.1,11,1,4,Material de Transporte,Material Rodoviário,Bens Industriais,11.47,
270,TEXTIL RENAUXVIEW S.A.,TXRX3,9.97,-0.73,-0.11,-4.26,0.24,-36.09,19.88,-8.84,-51.35,0.38,-0.23,-0.41,0.65,-15.03,-33.3,23.19,,-34.19,-2.21,3.21,0.28,0.0,2.3,1994.0,-90.5,-13.61,18922536.37,33,2,13,Tecidos. Vestuário e Calçados,Fios e Tecidos,Consumo Cíclico,,
270,TEXTIL RENAUXVIEW S.A.,TXRX4,1.57,-0.12,-0.02,-0.67,0.04,-36.09,19.88,-8.84,-51.35,0.06,-0.04,-0.06,0.65,-15.03,-33.3,23.19,,-34.19,-2.21,3.21,0.28,0.0,2.3,1381.6,-90.5,-13.61,18922536.37,33,2,13,Tecidos. Vestuário e Calçados,Fios e Tecidos,Consumo Cíclico,,
272,UNICASA INDÚSTRIA DE MÓVEIS S.A.,UCAS3,1.41,-39.8,0.51,-10.59,0.24,-18.63,32.05,-3.7,-0.98,0.39,7.11,-0.34,0.62,-1.28,-0.61,-5.97,0.39,-8.04,0.48,0.52,1.14,0.34,8.69,55902.52,2.77,-0.04,93181773.24,36,2,14,Utilidades Domésticas,Móveis,Consumo Cíclico,,
411,ULTRAPAR PARTICIPACOES S.A.,UGPA3,20.86,7.83,1.42,4.03,0.51,6.54,7.15,4.13,2.13,0.17,3.15,-0.8,3.07,18.14,6.52,11.12,0.88,2.51,0.36,0.59,1.83,0.58,8.37,148485294.52,14.69,2.66,23276628350.78,76,6,35,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis,8.39,51.41
390,UNIPAR CARBOCLORO S.A.,UNIP3,58.81,8.47,2.69,6.07,0.87,7.58,30.14,19.78,14.19,1.2,3.17,-1.46,0.73,31.82,10.3,12.12,0.65,1.46,0.32,0.67,3.18,0.1,12.24,1289418.43,21.83,6.95,6705375680.59,71,5,33,Químicos,Químicos Diversos,Materiais Básicos,19.29,35.28
390,UNIPAR CARBOCLORO S.A.,UNIP5,61.28,8.82,2.81,6.33,0.91,7.58,30.14,19.78,14.19,1.25,3.31,-1.52,0.73,31.82,10.3,12.12,0.65,1.46,0.32,0.67,3.18,0.1,12.24,67594.85,21.83,6.95,6705375680.59,71,5,33,Químicos,Químicos Diversos,Materiais Básicos,16.61,35.28
390,UNIPAR CARBOCLORO S.A.,UNIP6,59.48,8.56,2.73,6.14,0.88,7.58,30.14,19.78,14.19,1.22,3.21,-1.47,0.73,31.82,10.3,12.12,0.65,1.46,0.32,0.67,3.18,0.1,12.24,25718804.05,21.83,6.95,6705375680.59,71,5,33,Químicos,Químicos Diversos,Materiais Básicos,20.97,35.28
400,USINAS SID DE MINAS GERAIS S.A.,USIM3,5.9,-2.22,0.36,-5.9,0.21,-6.08,8.4,-4.72,-12.52,0.28,0.59,-0.39,0.75,-16.03,-9.42,-13.92,0.01,-0.17,0.59,0.33,4.21,0.0,11.59,3541846.43,16.56,-2.66,7404123105.68,74,5,34,Siderurgia e Metalurgia,Siderurgia,Materiais Básicos,,
400,USINAS SID DE MINAS GERAIS S.A.,USIM5,5.92,-2.23,0.36,-5.92,0.21,-6.08,8.4,-4.72,-12.52,0.28,0.59,-0.39,0.75,-16.03,-9.42,-13.92,0.01,-0.17,0.59,0.33,4.21,0.0,11.59,64645590.86,16.56,-2.66,7404123105.68,74,5,34,Siderurgia e Metalurgia,Siderurgia,Materiais Básicos,,
400,USINAS SID DE MINAS GERAIS S.A.,USIM6,8.0,-3.01,0.48,-8.0,0.28,-6.08,8.4,-4.72,-12.52,0.38,0.8,-0.53,0.75,-16.03,-9.42,-13.92,0.01,-0.17,0.59,0.33,4.21,0.01,11.59,800.0,16.56,-2.66,7404123105.68,74,5,34,Siderurgia e Metalurgia,Siderurgia,Materiais Básicos,,
384,VALE S.A.,VALE3,73.12,11.0,1.52,7.81,0.68,9.37,34.81,19.93,14.15,1.56,19.73,-0.84,0.44,13.84,6.22,11.18,0.3,1.56,0.45,0.54,1.24,-0.29,7.33,1877204669.57,48.06,6.65,331892234249.6,67,5,32,Mineração,Minerais Metálicos,Materiais Básicos,10.42,
672,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.,VAMO3,3.27,26.56,1.34,1.36,0.15,5.94,80.21,76.72,3.93,1.04,1.1,-0.22,0.15,5.06,0.58,12.39,4.53,4.58,0.11,0.89,1.93,-0.33,31.14,56455767.71,2.43,0.12,3534976395.99,7,1,3,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,Bens Industriais,4.3,-1.26
407,VIBRA ENERGIA S.A.,VBBR3,25.25,16.47,1.43,7.32,0.5,11.94,4.67,2.26,1.0,0.17,2.39,-0.83,3.0,8.67,3.01,6.21,0.9,4.61,0.35,0.65,2.09,-0.21,12.65,292192719.95,17.69,1.53,30263729157.75,76,6,35,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis,6.26,-3.63
803,VITTIA FERTILIZANTES E BIOLOGICOS S.A.,VITT3,4.57,11.01,1.09,10.43,0.72,12.65,31.22,7.9,7.48,0.82,2.07,-1.86,0.88,9.9,6.57,7.62,0.23,2.23,0.66,0.34,2.35,-0.84,12.74,828924.81,4.19,0.41,673225062.26,69,5,33,Químicos,Fertilizantes e Defensivos,Materiais Básicos,6.36,2.22
520,VIVARA PARTICIPAÇOES S.A,VIVA3,33.02,10.52,2.66,9.8,1.66,10.2,71.93,27.68,25.78,2.71,3.19,-4.67,0.61,25.25,15.78,21.2,0.11,0.4,0.62,0.38,5.17,0.22,28.01,81123435.57,12.43,3.14,7799250332.38,31,2,13,Tecidos. Vestuário e Calçados,Acessórios,Consumo Cíclico,4.11,23.51
244,VIVER INCORPORADORA E CONSTRUTORA S.A.,VIVR3,0.62,-1.31,0.37,-1.54,0.13,-1.93,26.78,-34.75,-40.92,0.54,1.57,-0.23,0.24,-27.93,-9.73,-19.4,0.09,-0.39,0.35,0.63,1.23,0.02,,47250.38,1.69,-0.47,30233720.92,23,2,9,Construção Civil,Incorporações,Consumo Cíclico,,
438,TELEFÔNICA BRASIL S.A,VIVT3,33.02,17.6,1.56,11.3,0.86,12.5,44.27,16.1,10.34,1.82,288.44,-1.07,0.47,8.85,4.89,8.76,0.16,1.2,0.55,0.45,1.02,1.42,4.76,106590147.62,21.21,1.88,106540569458.44,83,9,42,Telecomunicações,Telecomunicações,Comunicações,3.61,3.9
438,TELEFÔNICA BRASIL S.A,VIVT4,45.34,24.16,2.14,15.52,1.18,12.5,44.27,16.1,10.34,2.5,396.06,-1.47,0.47,8.85,4.89,8.76,0.16,1.2,0.55,0.45,1.02,1.95,4.76,,21.21,1.88,106540569458.44,83,9,42,Telecomunicações,Telecomunicações,Comunicações,,3.9
176,VALID SOLUÇÕES S.A.,VLID3,21.22,7.25,1.01,5.85,0.6,6.05,33.24,14.0,11.3,0.82,1.76,-1.22,0.74,13.91,8.33,11.77,0.03,0.2,0.6,0.4,3.14,-0.22,1.58,9139240.14,21.04,2.93,1736567877.5,12,1,5,Serviços,Serviços Diversos,Bens Industriais,14.52,34.57
205,FERROVIA CENTRO-ATLANTICA S.A.,VSPT3,5.0,6.51,0.49,3.93,0.27,3.37,19.76,12.09,7.29,0.47,-4.95,-0.31,0.57,7.57,4.16,12.19,-0.07,-0.56,0.55,0.45,0.71,-0.04,10.07,0.0,10.15,0.77,1780029215.0,16,1,6,Transporte,Transporte Ferroviário,Bens Industriais,,
205,FERROVIA CENTRO-ATLANTICA S.A.,VSPT4,0.0,0.0,0.0,0.0,0.0,3.37,19.76,12.09,7.29,0.0,0.0,0.0,0.57,7.57,4.16,12.19,-0.07,-0.56,0.55,0.45,0.71,0.0,10.07,,10.15,0.77,1780029215.0,16,1,6,Transporte,Transporte Ferroviário,Bens Industriais,,
226,VESTE S.A. ESTILO,VSTE3,4.05,22.87,0.44,5.81,0.27,9.66,63.54,6.62,1.68,0.38,3.12,-0.4,0.71,1.92,1.2,5.7,0.29,3.85,0.63,0.37,1.39,-0.02,3.1,130517.24,9.23,0.18,463052064.15,22,2,8,Comércio,Tecidos. Vestuário e Calçados,Consumo Cíclico,,
1691,VITRU BRASIL EMPREEND. PARTICIP. E COMERCIO S.A.,VTRU3,13.85,-6.88,2.04,-13.93,1.65,-10.26,22.04,-7.31,-14.81,1.02,3.93,-3.61,1.62,-29.57,-24.02,-29.52,-0.54,3.68,0.81,0.19,4.48,,,7378891.43,6.81,-2.01,524721889.45,26,2,10,Diversos,Serviços Educacionais,Consumo Cíclico,0.17,
485,VULCABRAS/AZALEIA S.A.,VULC3,20.02,5.39,2.53,8.69,1.5,9.29,41.07,21.09,34.01,1.83,3.69,-4.34,0.82,46.97,27.87,11.49,0.18,0.6,0.59,0.41,2.65,0.05,17.52,21162869.19,7.91,3.71,6336373443.4,32,2,13,Tecidos. Vestuário e Calçados,Calçados,Consumo Cíclico,24.0,52.39
799,CM HOSPITALAR S.A.,VVEO3,1.5,-0.49,0.24,-1.38,0.05,-9.35,11.8,-3.1,-8.78,0.04,0.31,-0.11,1.25,-49.46,-10.99,-7.47,1.39,-7.97,0.22,0.78,1.49,0.0,30.99,2535928.57,6.24,-3.09,484230912.0,80,7,39,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,Saúde,,
791,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A,WDCN3,2.58,-237.29,0.25,3.33,0.11,-0.84,26.99,5.58,-0.08,0.19,0.49,-0.23,0.61,-0.11,-0.05,5.49,-0.32,-4.17,0.44,0.55,1.84,2.19,10.59,86242.76,10.13,-0.01,163730574.54,82,8,41,Programas e Serviços,Programas e Serviços,Tecnologia da Informação,7.37,
189,WEG S.A.,WEGE3,48.75,31.56,9.13,25.12,4.93,24.69,33.39,19.68,15.67,4.94,17.46,-13.9,1.0,28.93,15.62,24.58,-0.16,-0.43,0.54,0.44,1.78,4.94,23.27,401085509.57,5.34,1.54,204619252402.5,9,1,3,Máquinas e Equipamentos,Motores . Compressores e Outros,Bens Industriais,5.03,32.05
683,WESTWING COMERCIO VAREJISTA S.A.,WEST3,5.99,-5.8,0.3,-2.28,0.22,0.96,39.02,-19.88,-7.82,0.45,0.56,-0.55,0.49,-5.19,-3.82,-12.97,-0.43,3.25,0.74,0.26,2.97,0.08,5.08,34117.35,19.87,-1.03,66544994.52,21,2,8,Comércio,Produtos Diversos,Consumo Cíclico,,
217,WHIRLPOOL S.A.,WHRL3,4.36,9.34,3.06,5.16,0.65,5.17,18.11,9.85,5.45,0.51,-22.86,-2.02,1.29,32.74,7.0,25.21,-0.07,-0.11,0.21,0.79,0.96,0.38,10.8,25533.71,1.43,0.47,6708595073.78,20,2,8,Comércio,Eletrodomésticos,Consumo Cíclico,11.36,-16.94
217,WHIRLPOOL S.A.,WHRL4,4.69,10.04,3.29,5.55,0.7,5.17,18.11,9.85,5.45,0.55,-24.59,-2.17,1.29,32.74,7.0,25.21,-0.07,-0.11,0.21,0.79,0.96,0.41,10.8,45709.86,1.43,0.47,6708595073.78,20,2,8,Comércio,Eletrodomésticos,Consumo Cíclico,11.6,-16.94
356,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,9.09,7.65,2.08,2.36,0.6,2.5,61.91,45.18,13.92,1.06,38.35,-0.78,0.57,27.23,7.87,24.72,0.13,0.14,0.29,0.46,1.07,1.33,13.02,3282537.1,4.36,1.19,1453557193.38,58,4,26,Previdência e Seguros,Corretoras de Seguros,Financeiro e Outros,2.75,-2.34
162,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,WLMM3,20.4,6.31,0.9,3.69,0.48,5.32,13.09,6.58,3.85,0.24,1.68,-1.18,2.0,14.25,7.68,9.83,0.39,1.6,0.54,0.46,1.96,-0.4,23.58,2918.0,22.69,3.23,747621696.0,1,1,1,Comércio,Material de Transporte,Bens Industriais,2.62,18.79
162,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,WLMM4,20.64,6.38,0.91,3.73,0.49,5.32,13.09,6.58,3.85,0.25,1.7,-1.19,2.0,14.25,7.68,9.83,0.39,1.6,0.54,0.46,1.96,-0.41,23.58,23356.3,22.69,3.23,747621696.0,1,1,1,Comércio,Material de Transporte,Bens Industriais,2.85,18.79
252,ESTACIO PARTICIPACOES S.A.,YDUQ3,12.56,14.08,1.1,3.86,0.35,8.64,60.66,16.25,4.46,0.63,9.38,-0.47,0.56,7.8,2.52,9.77,1.36,4.78,0.32,0.67,1.18,0.75,8.46,35762750.9,11.44,0.89,3442555968.56,26,2,10,Diversos,Serviços Educacionais,Consumo Cíclico,9.07,-17.66
256,ZAMP S.A.,ZAMP3,3.5,-7.95,0.98,37.22,0.33,57.06,64.92,0.76,-3.55,0.28,-9.5,-0.43,1.17,-12.35,-4.14,-0.79,0.52,19.84,0.33,0.67,0.87,-0.08,9.7,193474.0,3.56,-0.44,1424270382.5,28,2,11,Hoteis e Restaurantes,Restaurante e Similares,Consumo Cíclico,,
